studyName,studyFullName,studyCategoryId,studyCategory,studyDetail,studyStatus,studyType,startYear,endYear,sponsorName,studyDesign,noOfCountries,noOfSites,noOfParticipants
DEPOSITION ,DEPOSITION: Decreasing Post0peratIve Blood Loss by Topical vs. Intravenous Tranexamic Acid in Open Cardiac Surgery,17,Cardiac Surgery,"Primary objective of this study is to determine in patients undergoing on-pump cardiac surgery, if topical tranexamic acid (intra-pericardial) is superior to the usual intravenous tranexamic acid administration for reducing the risk of in-hospital seizure.  We are proposing a multi-centre double-blinded randomized control trial including 3800 cardiac surgery patients. Secondary objective is to determine in patients undergoing on-pump cardiac surgery, if topical tranexamic acid (intra-pericardial) compared with intravenous tranexamic acid administration is associated with a non-inferior risk of in-hospital RBC transfusion. We are starting with 500 participants at the General Hospital with the PHRI internal funding grant.  We successfully completed the DEPOSITION pilot study which included 107 cardiac surgery patients and proved feasibility of our proposed protocol.  Subjects will be randomized in a 1:1 ratio to topical TxA (IV placebo + topical TxA) or intravenous TxA (IV TxA + topical placebo). The surgeons, anesthetists, along with research and clinical teams are blinded to the allocation. Patients will be followed in hospital until discharge or 10 days (whichever comes first). Our vision is to produce strong evidence to support practice change in cardiac surgery toward the use of topical TxA.",Close Out,Interventional - Drug,2019,2023,PHRI,,7,17,3354
DEPOSITION - Pilot Study,Decreasing postoperative blood loss by topical vs. intravenous tranexamic acid in open cardiac surgery,17,Cardiac Surgery,Single centre randomized controlled clinical trial.  We hypothesize that topical intra-pericardial (i.p.) application of Tranexamic Acid (TA) vs. intravenous (i.v.) will reduce postoperative bleeding in patients who have undergone cardiac surgery using cardiopulmonary bypass (CPB) and decrease or eliminate the risk of seizures.,Publication,Interventional - Drug,2017,2018,PHRI,,1,1,97
DEPOSITION-2 Pilot,Decreasing Postoperative Blood Loss by Topical vs. Intravenous Tranexamic Acid in Open Cardiac Surgery - 2 (DEPOSITION-2) Trial,17,Cardiac Surgery,,New,Interventional - Drug,2024,2025,PHRI,,,1,40
DESI-GDM,A culturally-tailored personalizeD nutrition intErvention in South ASIan women at risk of Gestational Diabetes Mellitus: a randomized trial,3,Diabetes,"DESI-GDM is a 2-arm parallel RCT to assess the impact of a culturally tailored, personalized nutrition intervention on glycemic response to an oral glucose load (as measured by the area-under-the curve glucose) in high-risk pregnant South Asian women living in the Peel Region. The proposed study will utilize an integrated DHP to deliver diet and exercise advice, and collect diet, exercise, and glucose data. Follow up will range from 6 to 16 weeks and will include a two in-person visits: a baseline visit where physical measures are taken, and an OGTT visit during which physical measures are repeated and a 75-g OGTT is performed.

Co PIs:
Dr. Kristi Adamo, Dr. Sonia Anand, Dr. Harpreet Bajaj, Dr. Shrikant Bangdiwala, Dr. Hertzel Gerstein, Dr. Ronald Heslegrave, Dr. Scott Lear, Dr. Sarah McDonald, Dr. Ted Scott, Dr. Paul Ritvo, Dr. Diana Sherifali, Dr. Gita Wahi, Dr. Michael Zulyniak",Recruitment,Interventional - Procedure,2021,2025,PHRI,,1,1,72
DESI-GDM Digital,"Development of a digital health platform to track glucose, diet, and physical activity to prevent gestational diabetes in high-risk South Asian women (DESI-GDM Digital)",13,Population Health,"What is the proposed study? The proposed study will develop and pilot test an integrated DHP to deliver diet and exercise advice, and collect diet, exercise, and glucose data, to prevent dysglycemia in high-risk pregnant SA women residing in Peel. In consultation with physicians, dietitians, participants, behavioural psychologists, nurses, and digital health experts, we will:
A. Develop a motivational and reminder text messaging sequence for pregnant SA women that will provide information and bi-directional feedback to support healthy lifestyle choices aimed at preventing the development of GDM.
B. Develop an integrated ?one-stop? digital platform (such as a smartphone or computer-accessible app) to allow pregnant women to track blood glucose, activity, and diet by: 
i. tracking daily blood glucose readings (linked with Libre Freestyle).
ii. tracking daily activity, measured as number of steps taken (linked with FitBit Flex)
iii. tracking dietary intake (linked with MyFitnessPal + food photographs) 
C. Evaluate the feasibility and acceptability of the individual tools and integrated platform through focus group feedback. 
Study design and methods
Study design: The study will consist of four major phases: 1) developing the personalized messages; 2) development of the text messaging system and integrated DHP; 3) a 2-week trial of the health messaging, tracking apps (Freestyle Libre, Fitbit Flex, MyFitnessPal), and integrated DHP; 4) focus groups with participants. 

Eligibility: Eligibility criteria match those of a planned trial to ensure transferability of the results of this pilot test to the trial (see Appendix A). 
Phase 1 (Quarter 1): Developing the personalized messages. Brief messages will be developed for transmission via text message or e-mail (method of delivery and time chosen by the participant), geared to motivate participants to make and stick with positive changes in diet and walking habit. The starting point for the messages will be those messages developed and successfully tested in the SAHARA digital health project27,28 (see Appendix A for samples), which will be modified for pregnancy with input from investigators trained in dietetics (de Souza), kinesiology (Lear), health coaching (Sherifali), behavioural psychology (Ritvo), and internal medicine (Anand). Messages will provide advice and support regarding reduction of refined carbohydrates, energy-dense, nutrient-poor foods (i.e. fried, fast foods, sugary beverages, and desserts), and advocate increased consumption of fresh fruits, vegetables, nuts, and legumes. Physical activity messages will be aimed at increased at decreasing sedentary behaviour and increasing walking. All health messages will be tailored to pregnancy. Focus groups will be convened with women to review and refine the messages developed by the team to ensure they are understandable and resonate with the target population. Messages are modified based on feedback from participants prior to use in Phase 3 of the study (below).
Phase 2 (Quarter 2): Development of the text messaging system and integrated DHP. This phase will involve setting up the bidirectional text message/e-mail delivery system, based on the platform used for SAHARA, and working with data integration team members Bangdiwala and Scott to develop the integrated ?one-stop? DHP to test in the study.
Phase 3 (Quarter 2-3): Pilot trial of the health messaging and tracking apps. 
Recruitment for Phase 3: Participants are referred by primary care physicians, obstetricians & gynecologists in hospital clinics, general practices, prenatal classes, and community centres in the Peel Region (ON), where SA account for 20.9% of the population29. This strategy has successfully recruited>1,000 pregnant SA women into START (see Appendix A for details). 
Design of Phase 3: In this phase, we will develop a digital platform that integrates data received from the 3 devices, visible through a central portal, eliminating the need for 3 or more separate apps. Twenty participants will use the DHP for 2 weeks. Text/e-mail messages developed in phases 1 and 2 will be sent to participants at their preferred times. During the 2 week pilot, women wear the Freestyle Libre, Fitbit Flex, and log food using MyFitnessPal [MFP]). Data will be accessible by both the study team and the participants. These devices are chosen for their validity and acceptability (see Appendix A for details). 
Phase 4 (Quarter 3-4): Focus groups with participants. We will conduct 4 focus groups with 5 participants each. Focus groups will be audio-recorded and transcribed and members of the research team with expertise in qualitative research will interpret the findings (Sherifali, Ritvo, Lear, Wahi). Coding and analyses will be performed using Nvivo (v. 10; QSR International) employing a thematic analytic approach (see Appendix A for details).30,31 

Outcomes: The process outcome measures of the pilot study assess the feasibility of the DHP, defined by: 1) success at transmitting health messages via electronic media (text messaging and e-mail), 2) success at participants wearing the Libre Freestyle (at least 10 days of data), FitBit (at least 10 days of wear) and engaging with MFP (at least 6 days logged), as this reflects the uptake of the intervention and helps to assess the effect of intervention on health behaviors, and 3) successful development of the integrated platform. If >90% of electronic communications are sent and acknowledged by participants and ?16 participants, are able to provide at least 10 days? of glucose data, wear the FitBit for ?10 days, and track food for ?6 days (out of 14 days), and the platform successfully integrates the 3 data sources (i.e. simultaneous track of glucose, activity, and diet at a single portal or app), we will consider the digital intervention feasible to use in our trial. Unmet targets will be used by the study team to understand the reasons for the failure, and to develop plans to mitigate in the full scale trial.
",Publication,Interventional - Device,2019,2023,PHRI,,,1,20
DETECT,,22,Other,,New,,,,,,,,
DETECT-POAF,Enhanced DETECTion of Perioperative Atrial Fibrillation after noncardiac surgery with continuous electrocardiographic monitoring (DETECT-POAF),17,Cardiac Surgery,"The DETECT-POAF trial is an observational, prospective cohort of patients undergoing cardiac surgery. The trial aims to determine whether the use of 10 days of continuous ECG monitoring increases the incidence of clinically important POAF detected after noncardiac surgery and increase recruitment for the ASPIRE-AF trial. ",Planning,Observational,2024,2024,PHRI,,,9,550
Diabetes Hamilton,Diabetes Hamilton,3,Diabetes,"To learn more about how diabetes effects people. Increase understanding about who gets the disease and how it is being treated. Information will help suggest ways to improve care so that people with diabetes stay healthy.

",Publication,Observational,1999,2012,,,1,1,1793
DIAGNOSE CRDS,Evaluation of a Novel Diagnostic Test for Calcium Release Deficiency Syndrome,5,Arrhythmia,"The RyR2 gene encodes the RyR2 calcium channel, a protein that regulates calcium flow in the heart. RyR2 genetic changes that lead to reduced function have been found to cause a new condition called Calcium Release Deficiency Syndrome (CRDS). CRDS patients are vulnerable to dangerous electrical heart rhythms that can cause cardiac arrest and death. At present, there is no clinical testing method that identifies CRDS patients (all conventional testing is normal) and its diagnosis requires special testing in a research laboratory. Delays for this testing and it not being available to most clinicians/patients have resulted in an urgent need to identify a clinical diagnostic test. Our team of clinical and basic science researchers believe we have identified a method to diagnose CRDS patients. We previously reported a family with a genetic change in RyR2 wherein affected individuals developed marked QT interval prolongation (a measurement on electrical heart tracings) in response to the heart being paced. Following research testing on the genetic change, we discovered that the family suffered from CRDS. We then proceeded to do this testing in a limited number of CRDS patients and we observed the same finding. We now propose to explore the ability of this test to identify CRDS in a rigorous manner by performing it in a large number of CRDS patients, patients with other heart conditions, and healthy individuals. We hope to prove that the test is reliably positive in CRDS patients and reliably negative in the other groups tested. Establishment of a new clinical test will revolutionize the care of CRDS patients and their families.",Recruitment,Observational,2023,,PHRI,,2,5,500
DISCO,,,,,,,,,,,,,
DISCO-RLS,Dialysis Symptom COntrol - Restless Legs Syndrome Trial,1,Renal,"Restless legs syndrome (RLS) affects 30% of dialysis patients and is associated with a decreased quality of life. RLS is more common in patients with kidney disease compared to the general population, the pathophysiology is poorly understood and current evidence for RLS in end stage renal disease (ESRD) patients is lacking. DISCO-RLS aims to determine whether a fixed, low-dose combination therapy may be beneficial to target the multiple pathways implicated in the pathophysiology of RLS in individuals with kidney disease while avoiding exposure to higher doses of medications that are associated with adverse events. DISCO-RLS is a 4 treatment crossover randomized controlled trial with a single blind double placebo run-in period.",Publication,Interventional - Drug,2019,2021,PHRI,,1,10,83
DISCOVER,The Study of DetermInants of Suicide: COnVentional and Emergent Risk,13,Population Health,"To determine the strength of the association between 1) conventional risk factors and Suicidal Behaviour (SB) in different countries and 2) emergent risk factors and SB; 3) to assess the contribution of conventional and emergent risk factors combined to SB.

",Publication,Observational,2011,2015,PHRI,,1,1,344
DREAM,The DREAM (Diabetes Reduction Assessment with Ramipril and Rosiglitazone Medication) Trial,3,Diabetes,"To evaluate whether ramipril and/or rosiglitazone prevent the onset of type 2 diabetes in people with prediabetes and without cardiovascular disease. The trial found no clear benefit for ramipril and a large reduction in incident diabetes with rosiglitazone. Ramipril did not reduce the incidence of CV and renal events; Rosiglitazone reduced the incidence of renal events, had an overall neutral effect on CV events and increased the incidence of heart failure. Based on the trial results rosiglitazone is suggested as a possible therapy to reduce the risk for diabetes in some countries.

The primary outcome was the composite newly diagnosed diabetes or death. The secondary endpoints include: the composite of CV events (myocardial infarction (MI), stroke, congestive heart failure, angina, revascularization procedures, and ventricular arrhythmia) and renal Events. All primary and secondary outcomes were adjudicated.
",Publication,Interventional - Drug,2002,2006,,,21,191,5269
DREAM ON,Diabetes REduction Assessment with ramipril and rosiglitazone Medication Ongoing evaluatioN,3,Diabetes,"""To show that rosiglitazone substantially reduced the risk of diabetes and increased regression to normoglycemia in people with either impaired fasting glucose and/or impaired glucose tolerance. The 2 month washout suggested that there was durability of this effect after stopping rosiglitazone; however this may have been influenced by the long half-life of rosiglitazone.
Clear evidence within the DREAM trial that rosiglitazone increased hip circumference and reduced the waist/hip ratio and ALT levels, and animal data suggesting that rosiglitazone may preserve beta cell mass and function suggests that the median 3 years of exposure to rosiglitazone in DREAM may have an even longer-term effect on the prevention of diabetes and its consequences. Such an effect would be detectable by further open follow-up of the DREAM cohort and will be assessed in the passive DREAM ON follow-up study.
The DREAM trial also showed that ramipril clearly increased regression to normoglycemia by 17%, and reported a nonsignificant 9% reduction in diabetes incidence. Whether or not the effect on regression means that longer treatment and follow-up would detect an effect on diabetes prevention remains unknown. This possibility will also be assessed in the DREAM ON study.""

""a) Do DREAM trial participants without diabetes who were allocated to rosiglitazone for a median of 3 years during the active treatment phase have a significantly lower incidence of the primary outcome of diabetes or death compared to the group allocated to placebo (regardless of subsequent therapy) during the full follow-up period (i.e. the active treatment phase plus the passive observation phase)?
b) Do DREAM trial participants without diabetes who were allocated to ramipril for a median of 3 years during the active treatment phase have a significantly lower incidence of the primary outcome of diabetes or death compared to the group allocated to placebo (regardless of subsequent therapy) during the full follow-up period (i.e. the active treatment phase plus the passive observation phase)?""

",Publication,Interventional - Drug,2007,2008,,,9,49,1361
D-TEC,,,,,,,,,,,,,
Edoxaban AF Registry,Observational post-marketing multicentric open-label study evaluating the safety and tolerability of edoxaban in atrial fibrillation adult patients in the Canadian real-life setting,5,Arrhythmia,The aim of this observational registry is to collect information on the real-life use of edoxaban in Canadian routine clinical practice in non-preselected adult patients presenting with atrial fibrillation (AF).,Recruitment,Observational - Registry,2020,2023,Servier Canada,,,70,2000
EFAS Study,Evaluation of the Early Effects of Roux-en-Y Gastric Bypass Surgery on Hepatic Fat in Obese Patients with Type 2 Diabetes (EFAS),11,Obesity,"The aims of this pilot study are: (a) to characterize early effects of Roux-en-Y surgery on liver fat content in obese patients with type 2 diabetes; (b) to study the associations between liver fat content and glycemic parameters during perioperative period; (c) to assess the feasibility of recruiting study subjects and performing MRI imaging in this patient population.

Primary outcome - change in AUC glucose 0-150min from 0 to 4 weeks.
",Publication,Observational,2014,2015,PHRI,,1,1,18
ENHANCE-AF,,,,,,,,,,,,,
ENLIGHTNMENT,,,,,,,,,,,,,
ENRICH-AF,"The EdoxabaN foR IntraCranial Hemorrhage survivors with Atrial Fibrillation (ENRICH-AF) study is a prospective, randomized open-label, blinded end-point (PROBE), investigator-initiated, phase IV study that will define the efficacy and safety of edoxaban compared with standard of care (no antithrombotic therapy or antiplatelet monotherapy) for stroke prevention in AF patients and previous intracranial hemorrhage",10,Stroke,"To evaluate whether edoxaban is superior to standard medical therapy in reducing the risk of stroke in high-risk atrial fibrillation patients with previous intracranial hemorrhage. Patients who fulfill all inclusion and none of the exclusion criteria after giving informed consent will be randomly allocated 1:1 to either edoxaban 60 mg (dose adjusted to 30 mg) daily or standard medical therapy (either no antithrombotic therapy or antiplatelet monotherapy). Randomization will be stratified by center and by qualifying intracranial hemorrhage subtype (subdural vs. non-subdural). The study is event-driven and thus, all patients will be treated (or followed-up in case of premature discontinuation of study medication) until 123 confirmed primary efficacy outcomes have occurred.

""The primary efficacy objective is to evaluate whether edoxaban (60/30 mg daily) compared to standard of care (either no antithrombotic therapy or antiplatelet monotherapy) reduces the risk of stroke (composite of ischemic, hemorrhagic and unspecified stroke) in high-risk atrial fibrillation (CHA2DS2-VAScâ‰¥2) patients with previous intracranial hemorrhage.
The primary safety objective is to document the incidence of clinically relevant major bleeding.""

",Recruitment,Interventional - Drug,2019,2026,PHRI,,20,241,869
ENRICH-AF IIS,,,,,,,,,,,,,
EPIC STEMI,"Effects of Acute, Rapid Lowering of Low Density Lipoprotein (LDL) Cholesterol with Alirocumab in Patients with STEMI Undergoing Primary PCI",7,Acute Coronary Syndromes,"A randomized, double-blind, placebo controlled parallel group clinical trial evaluating the effects of acute treatment with a PCSK9 inhibitor (alirocumab) versus placebo on low-density lipoprotein (LDL) in 100 high-risk patients presenting with STEMI and referred for primary PCI.  

The objective is to determine the effect of acute, rapid lowering of LDL cholesterol with alirocumab added to high dose statin therapy in patients with STEMI undergoing primary PCI.  The hypothesis is that, in patients with STEMI undergoing primary PCI, rapid lowering of LDL cholesterol with a PCSK9 Inhibitor (alirocumab) initiated in the acute setting pre-PCI, will favourably affect LDL cholesterol concentrations compared with placebo.",Publication,Interventional - Drug,2019,2021,PHRI,,1,1,97
EpiDREAM Diabetes Reduction Assessment,Epidemiologic study of the Screens for DREAM (Diabetes Reduction Assessment with Ramipril and Rosiglitazone Medication),13,Population Health,"Diabetes and CVD
",Publication,Observational,2001,2008,,,21,191,18990
EpiDREAM Genetics Diabetes Study,EpiDREAM – A prospective cohort to determine environment and genetic determinants of metabolic syndrome related factors.,13,Population Health,,Publication,Observational,2008,2010,,,21,191,15466
ESUS,,,,,,,,,,,,,
EVAR ,Major Cardiovascular complications in patients undergoing EndVascular Aneurysm Repair,9,Perioperative,"Abdominal aortic aneurysms (AAA) are frequent in older population and if left untreated, are at increased risk of life-threatening rupture. Endovascular aneurysm repair (EVAR) is a minimally-invasive procedure often performed as an alternative to open surgical repair. EVAR is associated with less postoperative complications, and patients are frequently discharged in the first 24 hours after the intervention. However, EVAR is not associated with a long-term mortality advantage over open repair. Early cardiac complications occurring after patient discharge that may be undetected might explain the long-term prognostic difference. The EVAR Study is a multicenter prospective cohort study which will assess major cardiovascular complications in patients undergoing EVAR. Patients will have troponins measured in the first 3 postoperative days and will be followed for 30 days post-surgery.

For the pilot phase: the primary objective is to determine the feasibility of obtaining at least one troponin (Tn) measurement at day 2 or day 3 after surgery in â‰¥ 75% of enrolled patients whether they are home or in the hospital.
",Publication,Observational,2017,2019,PHRI,,1,2,12
EXERT,Exercise Rehabilitation Trial (EXERT),16,Heart Failure,"To examine the effects of exercise training on functional capacity in patients with heart failure.

The 6-minute walk test was considered the primary outcome measure for this study. Other important outcome measures were peak oxygen uptake, dynamic muscle strength, quality of life, and cardiac function.
",Publication,Interventional - Device,2002,2002,,,1,2,181
EXPLORE Xa,"A Phase 2, Randomized, Parallel group, Dose finding, Multicentre, Multinational study of the safety, Tolerability and pilot efficacy of three blinded doses of the Oral Factor Xa Inhibitor Betrixaban compared with Open Label Dose adjusted Warfarin in patients with non-valvular Atrial Fibrillation (EXPLORE Xa)",5,Arrhythmia,"To assess the safety and tolerability of betrixaban at doses of 40 mg, 60 mg and 80 mg given orally once a day for at least 3 months compared to dose-adjusted warfarin in patients with non-valvular AF.

The primary endpoint will be the time to occurrence of major or clinically relevant non-major bleeding. The secondary endpoints will be the time to occurrence of any bleeding (including major, clinically relevant non-major, and minimal) and the time to occurrence of death, ischemic or nonischemic stroke, MI, or other systemic embolism.
",Publication,Interventional - Drug,2008,2010,Portola Pharmaceuticals,,4,42,508
FAMILY,Family Atherosclerosis Monitoring In early life (FAMILY),2,Childhood Risk Factors,"To measure the environmental, metabolic and genetic factors that contribute to the development of excess adiposity and obesity related diseases that can have beginnings from the time of pregnancy to early childhood. The results of the FAMILY Cohort study will lead to a better understanding of the role of our genes and their interaction with the fetal/maternal environment in the development of adiposity, pre-diabetes and risk factors for heart disease in early childhood, school age, adolescence and young adulthood. With this knowledge, we can then develop recommendations to help women to have healthier pregnancies, and for better nutrition and lifestyle practices for growing children and young adults.

To collect information on nutrition, meal patterns, physical activity, growth, health, risk behaviours, socio-economic status, feeling of wellbeing and blood profiles, including analysis of genetic markers up to 10 years of age. All of this information is analyzed so that we can determine how each of these factors influence development of body fat during childhood and risk of obesity-associated markers of disease at 3, 5 and 10 years of age. We will also assess the heart health at the 10 year visit by performing a carotid ultrasound testing on the mother and the child.
",Close Out,Observational,2002,2020,PHRI,,1,3,901
FARGO,Frailty Assessment for Risk prediction in Gynecologic Oncology patients undergoing surgery and chemotherapy,9,Perioperative,"Age and comorbidities increase the risk of postoperative complications and reduce tolerance to chemotherapy, and are taken into account when these patients are evaluated to assess their risk of adverse outcomes before surgery and/or chemotherapy. However, age and comorbidities alone might not capture the complexity of the interaction between an older individual with cancer and treatments. The concept of frailty has been used to define an age-related and disease-related state of vulnerability to stressors due to reduced reserves. This study will recruit 280 patients aged 55 year or older, undergoing surgery with or without chemotherapy for advanced or high-risk gynecologic cancer, in order to evaluate the performance of frailty in predicting the risk of death or disability, and treatment tolerance, comparing different types of assessments and exploring the role of biomarkers. ",Recruitment,Observational,2023,2025,PHRI,,1,3,86
FAST Pilot,Fast track pathway to Accelerated cholecystectomy versus Standard of care for acute cholecysTitis ? FAST,9,Perioperative,"Our proposed pilot study aims to inform the design of a large clinical trial that will 
compare the outcomes of patients with AC who receive accelerated surgery (i.e., as soon as possible with a goal of surgery within 6 hours of diagnosis) with those who    receive standard care.",Close Out,Interventional - Procedure,2020,2022,PHRI,,1,4,60
FLIP-AF Pilot,Single dose FLecaInide for early sinus rhythm conversion of Perioperative Atrial Fibrillation after noncardiac surgery (FLIP-AF): a pilot randomized controlled trial ,9,Perioperative,"The FLIP-AF Pilot trial will assess the feasibility of conducting an RCT looking at the efficacy and safety of single-dose flecainide for early sinus rhythm conversion of uncontrolled POAF after noncardiac surgery. It is a prospective open-label randomized trial with blinded outcome assessment (PROBE) of 20 patients. Patients will be randomized to receive either a single 300 mg dose of oral flecainide or no flecainide, to be administered as soon as possible after randomization. At least 1 dose of either an oral rate controlling drug or intravenous rate controlling drug must be given before administering study drug. Both groups will receive rate controlling drugs titrated to achieve a heart rate of <100 and minimization of symptoms. All patients will receive 48 hours of continuous ECG monitoring after randomization. Patients will be followed during the index hospitalization, for a maximum of 30 days.
",New,Interventional - Drug,2024,2024,PHRI,,,1,20
FLUID,The Effect of Bio-impedance Analysis and Vitamin D Supplementation Versus Usual Care on Left Ventricular Mass in Peritoneal Dialysis Patients: A Randomized Controlled Trial,1,Renal,"To evaluate Bioelectric Impedance Analysis (BIA)-guided fluid management to reduce volume expansion and Vitamin D supplimentation and the combination of both to decrease muscle thickening known as left ventricular hypertrophy (LVH) in patients with peritoneal dialysis.

",Publication,Interventional - Procedure,2011,2016,St. Joseph's Healthcare,,1,6,65
FONDA - CABG,Fondaparinux to Prevent Thrombotic Complications & Graft Failure in Patients Undergoing Coronary Artery Bypass Graft Surgery.,9,Perioperative,"To demonstrate the feasibility of recruiting patients into this study and of performing CT angiograms to measure graft patency at 30 days. Our pilot study will provide key information about feasibility that will help us to design and perform a large definitive study in the future.

All primary and secondary endpoints are adjudicated. Graft patency. Secondary Endpoint: Myocardial infarction, Stroke, Death, Bleeding events, Transfusion requirements, Re-operation.
",Publication,Interventional - Procedure,2008,2009,,,1,1,99
G-CHF,Global Congestive Heart Failure,16,Heart Failure,"Heart failure (HF) is a rapidly increasing disease worldwide but there is no global HF study that documents demographics, socioeconomic and clinical factors, diagnostic and management patterns, etiology, biomarkers, co-morbidities, treatments, quality of life, barriers to care and outcomes in all parts of the world. Such knowledge is essential in the prevention and treatment of this global disease.

The primary event outcome of the study will be mortality, by cause. Secondary event outcomes will include non-fatal major events (both resulting in and not resulting in hospitalization).
",Follow Up,Observational - Registry,2016,2023,PHRI,,41,273,23344
GENETIC-AF,A Genotype-Directed Comparative Effectiveness Trial of Bucindolol and Toprol-XL for Prevention of Symptomatic Atrial Fibrillation/Atrial Flutter in Patients with Heart Failure,5,Arrhythmia,"The purpose of this trial is to determine if pharmacogenetically targeted bucindolol is superior to Toprol-XL for reducing the recurrence of symptomatic atrial fibrillation/atrial flutter (AF/AFL) in a genotype-defined population with heart failure and/or reduced left ventricular ejection fraction (LVEF) and persistent symptomatic AF requiring electrical cardioversion to sinus rhythm.

Time to first event of symptomatic atrial fibrillation/atrial flutter (AF/AFL) or all-cause mortality (ACM) during the 24-week follow-up period after conversion to stable sinus rhythm.
",Close Out,Interventional - Drug,2014,2017,ARCA Biopharma,,6,113,267
Guyana Prospective Observation Study for CVD Risk Assessment and Treatment by Non-Physician Health Workers,Guyana Prospective Observation Study for CVD Risk Assessment and Treatment by Non-Physician Health Workers,13,Population Health,"Rationale:
Cardiovascular disease is one of the most common causes of death in Guyana. Risk factors such as smoking, diabetes and hypertension need to be screened and managed early. Due to a lack of physicians in Guyana, clinicians have little time to screen, identify and fully address CVD and its risk factors. The WHO framework for task shifting and redistributing specific tasks to non-physician health workers (NPHWs) provides a potential solution to this problem.  This study protocol intends to implement an evidence-based programme for NPHWs to screen, identify and manage individuals with CVD and its risk factors.
Objectives:
1) To develop, implement and evaluate a programme for screening and managing CVD and its risk factors using up-to-date evidence and guideline recommendations in Guyana
2) To evaluate the feasibility of using NPHWs as the primary point of contact
3) To assess the feasibility of performing larger-scale epidemiological and health intervention studies in Guyana
Study Design:
This is a pilot observational, prospective follow-up study to be conducted at a single centre. This design is the best method to address the study objectives as it will allow for prospective data collection, while assessing the feasibility of conducting a study using a pragmatic evidence-based programme centred around NPHWs.
Study Population:
The study will prospectively recruit family members and friends of patients and staff at the Doobay Medical and Research Centre. These individuals are selected for this study for practical reasons. Participants would be 18 years of age or older. The following population will be excluded from the study: 1) refusal to consent, 2) actively involved in any study or heart health program that would compromise the study protocol, 3)severe co-morbid condition including dialysis with life expectancy < 1 year, or 4) other serious condition(s) or logistic factors likely to interfere with study participation or with the ability to complete the trial
Methods:
The study participants will be approached to consent for the study. Once their consent is obtained, participants will be interviewed, examined and screened for cardiovascular risk factors by NPHWs using an evidence-based algorithm. Based on this algorithm, NPHWs will provide lifestyle modification counselling. Initiating or adjusting pharmacotherapy will be supervised by local physicians based on international guidelines. Follow-up appointments will occur at 3, 6 and 12 months. Participants will be reassessed and their management plans will be modified accordingly. At 12 months, participants will be asked to provide feedback on their experience.
Primary Outcomes:
1) Qualitative feedback from participants, NPHWs, and supervising physicians
2) Participant recruitment and retention into the program as assessed by the rate of consent, and completion of follow-up visits at 3, 6 and 12 months
3) Adherence to intervention as assessed by the participant?s continued use of the recommended intervention for CVD and its risk factors.
Secondary Outcomes:
1. Change in LDL/HDL, triglyceride and total cholesterol from baseline to 12 months
2. Change in BP from baseline to 12 months
3. Proportion of participants with well-controlled blood pressure at baseline, 3, 6 and 12 months (SBP<140 mmHg in non-diabetic individuals, SBP<130 mmHg in diabetic individuals)
4. Changes in Cholesterol Modifiable Risk Score and non-lab INTERHEART Risk Score at baseline, 6 months and 12 months
5. Medication adherence measures at 6 and 12 months
6. Change in random PG from baseline to 12 months
7. Change in fasting PG for diabetic individuals from baseline to 12 months
8. Change in waist-to-hip ratio from baseline to 12 months
9. Change in height, weight and body-mass index from baseline to 12 months
10. Proportion of participants who smoke at baseline, 3, 6 and 12 months
11. Proportion of participants who are exposed to secondhand smoke at baseline, 3, 6 and 12 months
12. Proportion of participants with self-reported 30-minutes of moderate level of physical activity per day, at least 5 times per week at baseline, 3, 6 and 12 months
13. Proportion of participants with self-reported heart healthy diet at baseline, 3, 6 and 12 months
14. Change in FRS from baseline to 12 months
15. Clinical events (CVD development, hospitalisation and deaths) at 3, 6 and 12 months",Follow Up,Interventional - Drug,2018,2023,"Doobay Medical Research Centre, Guyana",,,1,100
HAMSMaRT,"Developing quality of care and resource utilization indicators to evaluate a mobile health outreach service, Hamilton Social Medicine Response Team (HAMSMaRT), in the Hamilton urban core",14,Health Systems,"Local registry in low-resource settings in Hamilton collecting basic information about an existing community-based clinical program to screen and manage high-risk individuals in the community (homes or community clinics).  The registry includes two arms: (1) individuals in hospital in Hamilton undergoing inpatient addiction treatment; and (2) individuals in the community who experience barriers to participating in standard health care delivery settings and processes.

PHRI's scope is limited to creation, maintenance and support of the database in REDCap, training local PI and his students/fellows in the use of REDCap, and perhaps a small amount of travel to McMaster.  PHRI study team will create standard reports, and statistical analyses will primarily be conducted by PI team at McMaster.
",Follow Up,Observational,2018,2021,PHRI,,1,1,244
HART,The Homocysteine and Atherosclerosis Reduction Trial (HART),8,CVD Prevention,"To evaluate the effects of homocysteine-lowering vitamin therapy on the progression of carotid atherosclerosis, as evaluated by serial B-mode quantitative ultrasound (US) examinations. A substudy of the HOPE-2 trial.

The primary study outcome was the composite of CV death, myocardial infarction and stroke.
",Publication,Interventional - Drug,2000,2000,,,1,10,923
